Word,Occurrences,Length,LgSUBTLWF
a,4,1,6.018
aardvark,NA,8,1
abacus,1,6,1.114
abandon,1,7,2.617
abbey,1,5,2.212
abbreviation,1,12,1.114
abdicate,1,8,1
abdomen,1,7,2.236
abduct,1,6,1.568
abduction,1,9,2.269
Abel,1,4,1.839
abhor,1,5,1.114
abide,1,5,2.143
ability,1,7,2.992
able,1,4,3.912
abnormal,1,8,2.173
abode,1,5,1.532
Aboriginal,NA,10,1
aborigine,1,9,0.699
abortion,1,8,2.568
about,2,5,5.268
above,1,5,3.397
abrasive,1,8,1.38
abroad,1,6,2.4
abrupt,1,6,1.771
abs,NA,3,1
absence,1,7,2.509
absent,1,6,2.121
absolute,1,8,2.762
absolutely,1,10,3.761
absorb,1,6,2.009
absorbent,1,9,0.954
abstain,1,7,1.431
abstract,1,8,2.049
absurd,1,6,2.696
abundance,1,9,1.663
abundant,1,8,1.477
abuse,1,5,2.719
abusive,1,7,1.924
academia,NA,8,1
academic,1,8,2.378
academy,1,7,2.802
accelerate,1,10,1.819
acceleration,1,12,1.653
accent,1,6,2.794
accept,1,6,3.43
acceptable,1,10,2.431
acceptance,1,10,2.209
accepted,1,8,2.904
access,1,6,3.208
accessory,1,9,2.17
accident,1,8,3.618
accompany,1,9,2.386
accomplish,1,10,2.476
accomplished,1,12,2.586
accomplishment,1,14,1.987
accord,1,6,1.924
accordion,1,9,1.833
account,2,7,3.358
accountant,1,10,2.5
accounting,1,10,2.364
accumulate,1,10,1.477
accuracy,1,8,1.887
accurate,1,8,2.603
accusation,1,10,2.158
accuse,1,6,2.464
ace,1,3,2.876
ache,1,4,2.107
achieve,1,7,2.574
achievement,1,11,2.253
achiever,NA,8,1
aching,1,6,2.025
acid,2,4,2.707
acidic,1,6,1.079
acknowledge,1,11,2.497
acne,1,4,1.672
acorn,1,5,1.58
acoustic,1,8,1.699
acquaintance,1,12,2.438
acquire,1,7,2.134
acre,1,4,1.973
acrid,1,5,0.477
acrobat,1,7,1.491
acrobatics,1,10,1.079
acronym,1,7,1.204
across,1,6,3.681
act,1,3,3.745
acting,1,6,3.428
action,1,6,3.494
actions,1,7,2.793
activate,1,8,2.378
active,1,6,2.767
activist,1,8,1.708
activity,1,8,2.818
actor,1,5,3.128
actors,1,6,2.81
actress,1,7,2.913
actual,1,6,2.947
actually,1,8,4.216
acute,1,5,2.179
ad,1,2,2.842
Adam,1,4,3.277
adapt,1,5,2.13
add,1,3,3.227
added,1,5,2.693
