Word,Occurrences,Length,LgSUBTLWF
addict,1,6,2.438
addicted,1,8,2.365
addiction,1,9,2.301
addictive,1,9,1.763
addition,1,8,2.598
additional,1,10,2.479
additionally,1,12,1.23
additive,1,8,1.079
address,1,7,3.426
adept,1,5,1.532
adequate,1,8,2.124
adhere,1,6,1.477
adhesive,1,8,1.681
adieu,1,5,1.978
adjacent,1,8,1.839
adjective,1,9,1.415
adjourn,1,7,1.826
adjust,1,6,2.459
adjustment,1,10,2.201
administration,1,14,2.589
administrator,1,13,1.929
admirable,1,9,2.127
admiral,1,7,2.927
admiration,1,10,2.033
admire,1,6,2.859
admission,1,9,2.26
admit,1,5,3.48
adobe,1,5,1.398
adolescence,1,11,1.653
adolescent,1,10,1.978
adopt,1,5,2.378
adoption,1,8,2.38
adorable,1,8,2.731
adoration,1,9,1.491
adore,1,5,2.597
adored,1,6,2.1
adorn,1,5,0.954
adornment,1,9,0.699
adrenal,1,7,1.23
adrenaline,NA,10,1
ads,1,3,2.413
adult,2,5,2.863
adultery,1,8,2
adults,1,6,2.689
advance,1,7,2.912
advanced,1,8,2.655
advancement,1,11,1.806
advantage,1,9,3.051
adventure,1,9,2.836
adventurer,1,10,1.58
adventurous,1,11,1.799
adverb,1,6,1.041
adversary,1,9,1.892
adversity,1,9,1.74
advert,1,6,1.146
advertise,1,9,1.929
advertisement,1,13,1.792
advertising,1,11,2.58
advice,1,6,3.389
Advil,NA,5,1
advise,1,6,2.795
advisor,1,7,2.354
advocate,1,8,2.057
aerobics,NA,8,1
aerosol,1,7,1.176
aesthetics,1,10,1.204
afar,1,4,1.778
a few,NA,5,1
affair,1,6,3.177
affairs,1,7,2.874
affect,1,6,2.755
affection,1,9,2.635
affectionate,1,12,2.064
affirm,1,6,1.255
affirmative,1,11,2.384
affluent,1,8,1.204
afford,1,6,3.356
affordable,NA,10,1
afraid,1,6,4.101
Africa,2,6,2.981
African,1,7,2.539
after,2,5,4.542
afternoon,1,9,3.669
aftershave,1,10,1.748
afterwards,1,10,2.854
again,1,5,4.607
against,1,7,4.012
age,2,3,3.606
aged,1,4,2.265
ageless,1,7,1.204
agency,1,6,2.997
agenda,1,6,2.573
agent,1,5,3.719
ages,2,4,2.754
aggravate,1,9,1.58
aggression,1,10,2.158
aggressive,1,10,2.608
aghast,1,6,0.903
agile,1,5,1.322
agility,1,7,1.38
aging,1,5,2.121
agitate,1,7,1.362
agitated,1,8,2.111
agnostic,1,8,1.301
ago,1,3,4.164
agony,1,5,2.283
agree,1,5,3.518
agreeable,1,9,1.914
agreed,1,6,3.263
agreement,1,9,2.951
agriculture,1,11,1.756
ahead,2,5,4.005
ahoy,1,4,2.279
aid,3,3,2.851
aide,1,4,2.017
aids,1,4,1.74
ailment,1,7,1.431
aim,1,3,2.88
aimless,1,7,1.176
air,4,3,3.851
air conditioning,NA,16,1
aircraft,1,8,2.684
air force,NA,9,1
airhead,NA,7,1
airless,1,7,0.778
airline,1,7,2.521
airplane,1,8,2.747
airport,1,7,3.288
airship,1,7,1.491
airy,1,4,1.23
aisle,1,5,2.58
alarm,1,5,3.183
alas,1,4,2.292
Alaska,1,6,2.35
Albert,1,6,2.978
album,1,5,2.719
alchemy,1,7,1.079
alcohol,1,7,2.927
alcoholic,1,9,2.501
alcoholism,1,10,1.643
ale,1,3,2.308
alert,1,5,3.022
algae,1,5,1.362
algebra,1,7,1.959
algorithm,1,9,1.447
alibi,1,5,2.63
alien,1,5,2.949
aliens,1,6,2.692
align,1,5,1.544
alike,1,5,2.763
a little,NA,8,1
alive,1,5,3.897
all,1,3,5.42
allegiance,1,10,2.204
allergic,1,8,2.617
allergies,1,9,2.146
allergy,1,7,1.94
alley,1,5,2.92
alliance,1,8,2.668
alligator,1,9,2.253
allow,1,5,3.355
allowance,1,9,2.425
allowed,2,7,3.359
alloy,1,5,1.724
allspice,1,8,0.602
allure,1,6,1.491
ally,1,4,3.222
almanac,1,7,1.643
almighty,NA,8,1
almond,1,6,1.756
almonds,1,7,1.845
almost,1,6,3.994
aloe,1,4,1.204
alone,1,5,4.197
along,1,5,3.97
alongside,1,9,2.286
aloof,1,5,1.532
alot,NA,4,1
a lot,NA,5,1
aloud,1,5,1.978
alpha,1,5,2.618
alphabet,1,8,2.107
Alpine,1,6,1.819
Alps,1,4,1.799
already,1,7,4.211
alright,1,7,3.607
also,1,4,4.022
altar,1,5,2.415
alter,1,5,2.389
alteration,1,10,1.568
alternate,1,9,2.258
alternative,1,11,2.679
alternatively,1,13,0.778
although,1,8,3.331
altitude,1,8,2.299
alto,1,4,1.845
altruism,1,8,1.079
altruistic,1,10,1.279
aluminum,1,8,2.064
alumni,1,6,1.954
Alvin,NA,5,1
always,1,6,4.524
am,1,2,4.752
amass,1,5,0.602
amateur,1,7,2.525
amaze,1,5,1.919
amazement,1,9,1.568
amazing,1,7,3.62
Amazon,1,6,2.173
ambassador,1,10,2.839
amber,1,5,2.676
ambiance,1,8,0.954
ambient,1,7,1.431
ambiguous,1,9,1.58
ambition,1,8,2.438
ambitious,1,9,2.387
amble,1,5,0.778
ambulance,1,9,3.058
ambush,1,6,2.444
amen,NA,4,1
amend,1,5,1.591
America,2,7,3.599
American,2,8,3.717
Americans,2,9,3.112
amiable,1,7,1.491
amid,1,4,1.663
amino acid,NA,10,1
ammo,1,4,2.439
ammunition,1,10,2.479
amoeba,1,6,1.23
amok,1,4,1.431
among,1,5,3.238
amongst,1,7,2.562
amorphous,1,9,0.903
amount,1,6,3.101
amp,1,3,1.973
amphibian,1,9,1.322
ample,1,5,1.973
amplifier,1,9,1.23
amplify,1,7,1.301
amuse,1,5,2.127
amusement,1,9,2.283
amusing,1,7,2.672
an,1,2,4.978
anagram,1,7,1.431
anal,1,4,2.143
analog,NA,6,1
analogy,1,7,1.771
analysis,1,8,2.751
analyst,1,7,2.25
analytical,1,10,1.491
analyze,1,7,2.22
anarchist,1,9,1.477
anarchy,1,7,2.017
anatomy,1,7,2.215
ancestor,1,8,1.94
ancestors,1,9,2.447
ancestry,1,8,1.398
anchor,1,6,2.579
anchovy,1,7,0.903
ancient,1,7,3.044
and,4,3,5.834
android,NA,7,1
anecdote,1,8,1.748
anemia,1,6,1.556
anew,1,4,1.653
angel,1,5,3.601
angelic,1,7,1.477
angels,1,6,2.872
anger,1,5,2.997
angle,1,5,2.882
angled,1,6,1.114
angles,1,6,2.217
angry,1,5,3.478
angst,1,5,1.681
anguish,1,7,2.045
animal,1,6,3.366
animals,1,7,3.3
animate,1,7,0.602
animation,1,9,1.799
anime,NA,5,1
anisette,NA,8,1
ankle,1,5,2.613
annihilate,1,10,1.568
anniversary,1,11,2.973
announce,1,8,2.698
announcement,1,12,2.721
annoy,1,5,2.111
annoyance,1,9,1.415
annoyed,1,7,2.245
annoying,1,8,2.754
annual,1,6,2.566
annually,1,8,1.415
anonymous,1,9,2.634
anorexia,1,8,1.146
another,1,7,4.415
answer,1,6,3.954
answers,1,7,3.184
ant,1,3,2.438
Antarctic,1,9,1.505
anteater,1,8,1.079
antecedent,1,10,0.602
antelope,1,8,1.708
antenna,1,7,2.09
anterior,1,8,1.69
anthem,1,6,1.987
anthill,1,7,1.477
anthropology,1,12,1.833
anti,NA,4,1
antibiotic,1,10,1.532
antibiotics,1,11,2.274
anticipate,1,10,2.114
anticipation,1,12,2.107
antidote,1,8,2.346
antiquated,1,10,1.462
antique,1,7,2.491
antiques,1,8,2.14
antiseptic,1,10,1.653
antisocial,1,10,1.623
antler,1,6,1.204
antlers,1,7,1.672
ants,1,4,2.563
anus,1,4,1.756
anvil,1,5,1.518
anxiety,1,7,2.539
anxious,1,7,2.857
any,1,3,4.749
anybody,1,7,4.064
anyone,1,6,4.115
anything,1,8,4.665
anytime,NA,7,1
anyway,1,6,4.085
anywhere,1,8,3.653
aorta,1,5,1.898
apache,NA,6,1
apart,2,5,3.38
apartheid,1,9,1.301
apartment,1,9,3.627
apartments,1,10,2.334
apathetic,1,9,1.279
apathy,1,6,1.398
ape,1,3,2.694
apes,1,4,2.322
apex,1,4,1.643
aphrodisiac,1,11,1.919
apocalypse,1,10,2.104
apologize,1,9,3.401
apology,1,7,2.906
apostle,1,7,1.857
app,NA,3,1
apparel,1,7,1.556
apparent,1,8,2.334
apparition,1,10,1.602
appeal,1,6,2.822
appealing,1,9,2.212
appear,1,6,3.077
appearance,1,10,2.772
appendage,1,9,1.342
appendix,1,8,2.127
appetite,1,8,2.66
appetizer,1,9,1.792
applaud,1,7,2.041
applause,1,8,2.761
apple,3,5,3.082
apple juice,NA,11,1
apple pie,NA,9,1
apples,1,6,2.627
applesauce,NA,10,1
appliance,1,9,1.623
application,1,11,2.708
apply,1,5,2.805
appoint,1,7,2.021
appointment,1,11,3.193
appraisal,1,9,1.602
appraise,1,8,1.041
appreciate,1,10,3.641
appreciation,1,12,2.418
apprehend,1,9,1.869
apprehension,1,12,1.602
apprehensive,1,12,1.462
apprentice,1,10,2
approach,1,8,3.03
appropriate,1,11,2.818
approval,1,8,2.632
approve,1,7,2.764
approximate,1,11,1.813
approximately,1,13,2.581
approximation,1,13,0.602
apricot,1,7,1.518
April,1,5,3.023
apron,1,5,2.137
apt,1,3,1.954
aptitude,1,8,1.748
aqua,NA,4,1
aquarium,1,8,2.152
Arab,1,4,2.243
Arabic,1,6,2.243
arachnid,1,8,1.146
arc,1,3,2.394
arcade,1,6,2.049
arch,1,4,2.276
archaic,1,7,1.556
archeology,NA,10,1
archery,1,7,1.613
architect,1,9,2.525
architecture,1,12,2.212
archive,NA,7,1
arctic,NA,6,1
arduous,1,7,1.544
are,1,3,5.424
area,1,4,3.582
arena,1,5,2.269
argue,1,5,3.003
argument,1,8,2.938
argumentative,1,13,1.591
arid,1,4,1.23
Aries,1,5,1.176
aright,1,6,1.255
arise,1,5,2.182
aristocracy,1,11,1.518
aristocrat,1,10,1.845
aristocratic,1,12,1.58
arithmetic,1,10,1.898
Arizona,1,7,2.752
arm,1,3,3.523
armada,1,6,1.748
armchair,1,8,1.342
armed,2,5,3.066
armed forces,NA,12,1
armor,1,5,2.572
armpit,1,6,1.813
arms,1,4,3.484
army,1,4,3.641
aroma,1,5,1.845
aromatic,1,8,1.176
around,1,6,4.575
arousal,1,7,1.301
arouse,1,6,1.799
arrange,1,7,2.899
arrangement,1,11,2.684
array,1,5,2.037
arrest,1,6,3.483
arrested,1,8,3.251
arrival,1,7,2.626
arrive,1,6,2.979
arriving,1,8,2.597
arrogance,1,9,2.161
arrogant,1,8,2.426
arrow,1,5,2.603
arrows,1,6,2.24
arsenic,1,7,1.806
art,2,3,3.558
artery,1,6,2.435
arthritis,1,9,2
Arthur,1,6,3.227
artichoke,1,9,1.462
article,1,7,3
articulate,1,10,1.935
artifact,1,8,1.756
artificial,1,10,2.393
artillery,1,9,2.449
artisan,1,7,0.778
artist,1,6,3.165
artistic,1,8,2.401
arts,1,4,2.673
artsy,NA,5,1
artwork,NA,7,1
as,2,2,5.053
ascend,1,6,1.681
ascent,1,6,1.23
ascertain,1,9,1.699
ash,1,3,2.672
ashamed,1,7,3.145
ashes,1,5,2.702
ashtray,1,7,2.223
Asia,1,4,2.433
Asian,1,5,2.442
aside,1,5,3.084
ask,1,3,4.392
askew,1,5,1.176
asking,1,6,3.816
asleep,1,6,3.405
asparagus,1,9,1.708
aspect,1,6,2.297
asphalt,1,7,1.699
asphyxiate,1,10,0.954
aspiration,1,10,1.477
aspire,1,6,1.748
aspirin,1,7,2.598
ass,1,3,4.062
assassin,1,8,2.481
assassination,1,13,2.45
assault,1,7,2.953
assemble,1,8,2.215
assembly,1,8,2.391
assert,1,6,1.643
assertive,1,9,1.38
assess,1,6,1.924
assessment,1,10,2.201
asset,1,5,2.288
assets,1,6,2.417
asshole,1,7,3.497
assign,1,6,2.143
assignment,1,10,2.961
assimilate,1,10,1.431
assist,1,6,2.603
assistance,1,10,2.747
assistant,1,9,3.216
associate,1,9,2.662
associated,1,10,2.303
association,1,11,2.618
assortment,1,10,1.58
assume,1,6,3.232
assumption,1,10,2.233
assurance,1,9,2.021
assure,1,6,3.01
assured,1,7,2.501
asteroid,1,8,1.94
asthma,1,6,2.297
astonish,1,8,1.38
astonishing,1,11,1.944
astonishment,1,12,1.176
astound,1,7,1.362
astounding,1,10,1.826
astringent,1,10,0.845
astrology,1,9,1.681
astronaut,1,9,2.308
astronomy,1,9,1.833
as well,NA,7,1
asylum,1,6,2.371
at,2,2,5.215
atheism,1,7,0.778
atheist,1,7,1.748
athlete,1,7,2.373
athletic,1,8,2.297
athletics,1,9,1.518
atlas,1,5,1.724
atmosphere,1,10,2.694
atom,1,4,2.149
atomic,1,6,2.398
atoms,1,5,1.949
atop,1,4,1.724
attach,1,6,2.104
attached,1,8,2.795
attachment,1,10,1.778
attack,2,6,3.586
attain,1,6,1.681
attempt,1,7,2.989
attend,1,6,2.855
attendance,1,10,2.134
attendant,2,9,2.201
attention,1,9,3.702
attentive,1,9,1.826
attic,NA,5,1
attire,1,6,1.887
attitude,1,8,3.124
attorney,1,8,3.314
attract,1,7,2.464
attraction,1,10,2.543
attractive,1,10,3.099
attribute,1,9,1.663
aubergine,1,9,1.079
auburn,1,6,1.477
auction,1,7,2.658
audible,1,7,1.568
audience,1,8,3.112
audio,1,5,2.455
auditorium,1,10,1.909
augment,1,7,1.301
august,NA,6,1
aunt,1,4,3.45
aura,1,4,1.973
Australia,1,9,2.635
Australian,1,10,2.045
Austria,1,7,2.167
authentic,1,9,2.364
author,1,6,2.608
authoritarian,1,13,0.602
authority,1,9,3.035
autism,1,6,1.568
auto,1,4,2.593
autograph,1,9,2.62
automatic,1,9,2.553
automobile,1,10,2.465
automotive,1,10,1.532
autonomy,1,8,1.447
autumn,1,6,2.288
available,1,9,3.122
avenue,1,6,2.936
average,1,7,2.929
aviation,1,8,1.869
avid,1,4,1.415
avocado,1,7,1.799
avoid,1,5,3.093
avoidance,1,9,1.431
await,1,5,2.26
awake,1,5,3.135
awaken,1,6,2.1
award,1,5,2.818
aware,1,5,3.26
awareness,1,9,2.064
away,9,4,4.571
awe,1,3,2.13
awesome,1,7,3.204
awful,1,5,3.51
awkward,1,7,2.864
axe,1,3,2.398
axiom,1,5,0.903
axis,1,4,1.914
axle,1,4,1.806
axon,NA,4,1
b,NA,1,1
babble,1,6,1.653
babbling,1,8,2.201
babe,1,4,3.259
babies,1,6,3.232
baboon,1,6,1.944
baby,1,4,4.415
babysitter,NA,10,1
bachelor,1,8,2.703
back,5,4,5.011
backbone,1,8,1.929
background,1,10,2.954
backpack,1,8,2.272
backpacker,NA,10,1
backspace,1,9,1
backstabber,NA,11,1
backup,1,6,2.936
backward,1,8,2.204
backwards,1,9,2.825
backyard,1,8,2.568
bacon,1,5,2.783
bacteria,1,8,2.193
bad,6,3,4.444
badge,1,5,2.892
badger,1,6,1.954
bad guy,NA,7,1
bad luck,NA,8,1
badly,1,5,3.126
badminton,1,9,1.301
bad mood,NA,8,1
bad weather,NA,11,1
baffle,1,6,0.954
bag,1,3,3.681
bagel,NA,5,1
baggage,1,7,2.504
baggy,1,5,1.69
bagpipe,1,7,1.204
bagpipes,1,8,1.556
bags,1,4,3.163
baguette,NA,8,1
bail,1,4,2.947
bait,1,4,2.696
bake,1,4,2.51
baked,1,5,2.534
baker,1,5,2.845
bakery,1,6,2.255
baking,2,6,2.25
baking soda,NA,11,1
balance,1,7,2.884
balanced,1,8,2.086
balcony,1,7,2.573
bald,1,4,2.696
bale,1,4,2.021
ball,2,4,3.729
ballerina,1,9,2.075
ballet,1,6,2.719
balloon,1,7,2.646
balloons,1,8,2.38
ballot,1,6,1.845
ballroom,1,8,2.344
balls,1,5,3.312
balm,1,4,1.491
baloney,NA,7,1
balsamic,NA,8,1
bam,NA,3,1
Bambi,1,5,1
bamboo,1,6,1.909
bamboozle,1,9,0.602
ban,1,3,2.207
banana,1,6,2.739
bananas,1,7,2.446
band,2,4,3.435
bandage,1,7,2.167
Band-Aid,NA,8,1
bandicoot,NA,9,1
bandit,1,6,2.283
bang,2,4,3.009
banging,1,7,2.64
banish,1,6,1.845
banister,1,8,1.833
banjo,1,5,1.924
bank,2,4,3.637
bank account,NA,12,1
banker,1,6,2.387
banking,1,7,2.185
bankrupt,1,8,2.158
banks,1,5,2.91
banned,1,6,2.14
banner,1,6,2.481
banquet,1,7,2.422
baptism,1,7,1.792
Baptist,NA,7,1
baptize,1,7,1.58
bar,3,3,3.642
barbarian,1,9,1.968
barbecue,1,8,2.66
barber,1,6,2.447
Barbie,NA,6,1
bare,1,4,2.629
barefoot,1,8,2.086
barely,1,6,3.171
barf,NA,4,1
bargain,1,7,2.788
barge,1,5,2.299
baritone,1,8,1.342
bark,1,4,2.449
barking,1,7,2.663
barley,1,6,1.672
barmaid,1,7,1.556
barn,1,4,2.841
barracuda,1,9,1.556
barred,1,6,1.813
barrel,1,6,2.735
barren,1,6,1.881
barrier,1,7,2.24
barrister,1,9,1.623
bars,1,4,2.962
bartender,1,9,2.698
barter,1,6,1.672
base,1,4,3.256
baseball,1,8,3.11
based,1,5,3.133
basement,1,8,3.031
bash,1,4,2.225
bashful,1,7,1.806
basic,1,5,2.9
basil,1,5,1.845
basin,1,5,1.987
basis,1,5,2.785
basket,1,6,2.828
basketball,1,10,3.038
bass,1,4,2.587
bassinet,1,8,1.279
bassoon,1,7,1.23
bastard,1,7,3.525
bat,1,3,3.022
bath,1,4,3.201
bathe,1,5,2.111
bathing,1,7,2.58
bathrobe,1,8,1.935
bathroom,1,8,3.498
bathtub,1,7,2.494
Batman,NA,6,1
baton,1,5,2.164
batter,1,6,2.31
batteries,1,9,2.608
battery,1,7,2.802
battle,1,6,3.334
battlefield,1,11,2.22
bauble,1,6,1.362
bay,1,3,3.092
bazaar,1,6,1.771
bazooka,1,7,1.672
BBQ,NA,3,1
be,2,2,5.467
beach,1,5,3.461
beaches,1,7,2.322
beacon,1,6,2.297
bead,1,4,1.763
beagle,1,6,1.813
beak,1,4,2.033
beaker,1,6,1.362
beam,1,4,2.649
bean,1,4,2.544
beanie,NA,6,1
beans,1,5,2.868
beanstalk,1,9,1.279
bear,3,4,3.467
beard,1,5,2.809
bearing,1,7,2.688
bears,1,5,2.765
beast,1,5,3.098
beat,1,4,3.827
beaten,1,6,2.787
beater,1,6,1.568
beating,1,7,3.065
Beatles,NA,7,1
beautiful,1,9,4.154
beauty,1,6,3.391
beaver,1,6,2.393
because,1,7,4.737
become,1,6,3.771
becoming,1,8,3.067
bed,1,3,3.98
bedding,1,7,1.591
bedroom,1,7,3.272
bedsheets,NA,9,1
bedtime,1,7,2.501
bee,1,3,2.724
beef,3,4,3.003
beefy,1,5,1.23
beehive,1,7,1.653
beekeeper,NA,9,1
been,1,4,4.947
beep,1,4,2.522
beeping,NA,7,1
beer,1,4,3.586
bees,1,4,2.436
beeswax,1,7,1.38
beet,1,4,1.176
Beethoven,1,9,2.308
beetle,1,6,2.025
beetroot,1,8,0.699
beets,1,5,1.724
before,1,6,4.607
befuddled,1,9,0.954
beg,1,3,3.415
beggar,1,6,2.104
begin,1,5,3.463
beginner,1,8,2
beginning,1,9,3.508
beginnings,1,10,1.819
behave,1,6,2.919
behavior,1,8,3.058
behind,1,6,3.982
beige,1,5,1.845
being,2,5,4.394
belch,1,5,1.58
Belgian,1,7,1.69
Belgium,1,7,1.819
belief,1,6,2.59
beliefs,1,7,2.301
believable,1,10,1.863
believe,2,7,4.504
believer,1,8,2.243
believing,1,9,2.727
belittle,1,8,1.58
bell,1,4,3.303
belle,1,5,2.617
bellow,1,6,1.38
bells,1,5,2.827
belly,2,5,2.9
belly button,NA,12,1
belong,1,6,3.355
belonging,1,9,2.025
belongings,1,10,2.19
beloved,1,7,2.814
below,1,5,3.156
belt,1,4,3.095
bemuse,1,6,1
bench,1,5,2.694
benchmark,NA,9,1
bend,1,4,2.886
bendable,NA,8,1
bender,NA,6,1
bendy,NA,5,1
beneath,1,7,2.774
beneficial,1,10,1.613
benefit,1,7,2.865
benefits,1,8,2.58
benevolent,1,10,1.58
bent,1,4,2.567
berate,1,6,1.146
beret,1,5,1.69
Berlin,1,6,2.836
berries,1,7,2.201
berry,1,5,2.253
beside,1,6,2.889
besides,1,7,3.636
best,2,4,4.314
best friend,NA,11,1
bestow,1,6,1.756
bet,1,3,3.943
beta,1,4,2.245
betray,1,6,2.669
betrayal,1,8,2.337
better,2,6,4.607
betting,1,7,2.635
between,1,7,3.951
beverage,1,8,2.079
beware,1,6,2.467
bewilder,1,8,0.477
Beyonce,NA,7,1
beyond,1,6,3.343
bias,1,4,1.919
biased,NA,6,1
bible,NA,5,1
biblical,1,8,2.061
bibliography,1,12,0.602
bicep,1,5,1.23
biceps,1,6,1.69
bicycle,1,7,2.529
bid,1,3,2.808
big,2,3,4.542
big bang,NA,8,1
bigger,1,6,3.442
biggest,1,7,3.319
bigot,1,5,1.505
bigoted,1,7,1.041
bigotry,1,7,1.544
bike,1,4,3.121
biker,NA,5,1
bikini,1,6,2.276
bill,1,4,3.781
billboard,1,9,1.845
billiards,1,9,1.532
billion,1,7,2.755
bills,1,5,3.04
Billy,1,5,3.547
bimbo,NA,5,1
bin,1,3,2.439
binary,1,6,1.591
bind,1,4,2.236
binder,1,6,1.602
binding,1,7,2.049
bingo,1,5,2.807
binoculars,1,10,1.909
bio,NA,3,1
biography,1,9,1.881
biological,1,10,2.479
biologist,1,9,1.813
biology,1,7,2.4
birch,1,5,1.903
bird,1,4,3.365
birdhouse,NA,9,1
birdie,1,6,2.405
birds,1,5,3.121
birth,2,5,3.148
birth control,NA,13,1
birthday,1,8,3.695
biscuit,1,7,2.283
biscuits,1,8,2.225
bisexual,1,8,1.74
bishop,1,6,2.933
bison,1,5,1.255
bit,1,3,4.079
bitch,1,5,3.935
bitchy,1,6,1.813
bite,1,4,3.318
biting,1,6,2.4
bits,1,4,2.74
bitter,1,6,2.755
bittersweet,1,11,1.38
bizarre,1,7,2.572
black,6,5,3.933
black and white,NA,15,1
blackberries,1,12,1.114
blackberry,1,10,1.591
blackbird,1,9,1.633
blackboard,1,10,1.785
black cat,NA,9,1
black hole,NA,10,1
black magic,NA,11,1
blackmail,1,9,2.597
blackout,1,8,2.354
black sheep,NA,11,1
blacksmith,1,10,2.033
bladder,1,7,2.308
blade,1,5,2.822
blah,1,4,2.837
blame,1,5,3.477
bland,1,5,1.748
blank,1,5,2.696
blanket,1,7,2.821
blankets,1,8,2.417
blaring,1,7,1.949
blast,1,5,2.917
blaster,NA,7,1
blaze,1,5,2.033
blazer,1,6,1.799
bleach,1,6,2.075
bleak,1,5,1.748
bleed,1,5,2.713
bleeding,1,8,3.181
bleep,1,5,2.137
blemish,1,7,1.491
blend,1,5,2.34
blender,1,7,1.935
bless,2,5,3.253
blessed,1,7,2.848
blessing,1,8,2.696
bless you,NA,9,1
blimp,1,5,1.732
blind,1,5,3.369
blindness,1,9,1.833
blinds,1,6,2.041
bling,NA,5,1
blink,1,5,2.413
bliss,1,5,2.207
bloated,1,7,1.94
blob,1,4,1.785
block,1,5,3.316
blockade,1,8,1.898
blockage,1,8,1.544
blocked,1,7,2.54
blocks,1,6,2.884
blog,NA,4,1
bloke,1,5,2.378
blond,1,5,2.728
blonde,1,6,2.852
blood,2,5,3.977
blood pressure,NA,14,1
bloody,1,6,3.293
bloom,1,5,2.45
blossom,1,7,2.267
blot,1,4,1.69
blouse,1,6,2.436
blow,2,4,3.697
blowjob,NA,7,1
blown,1,5,2.91
blow up,NA,7,1
blubber,1,7,1.643
blue,4,4,3.718
blueberries,1,11,1.748
blueberry,1,9,2.121
blue collar,NA,11,1
bluejay,NA,8,1
blueprint,1,9,1.806
blues,1,5,2.719
bluff,1,5,2.502
blunt,1,5,2.4
blur,1,4,2.041
blurb,1,5,1.146
blurry,1,6,1.851
blush,1,5,2.137
blushing,1,8,2.013
boa,1,3,1.826
boar,1,4,2.049
board,2,5,3.515
board game,NA,10,1
boarding school,NA,15,1
boardwalk,1,9,1.978
boast,1,5,1.74
boastful,1,8,1.079
boat,1,4,3.689
boating,1,7,1.724
boats,1,5,2.778
Bob,NA,3,1
bodies,1,6,3.229
bodily,1,6,2.037
body,3,4,3.999
bodybuilder,1,11,1.176
bodyguard,1,9,2.467
body part,NA,9,1
body parts,NA,10,1
bog,1,3,1.699
bogus,1,5,2.143
bohemian,1,8,1.69
boil,1,4,2.483
boiled,1,6,2.23
boiler,1,6,2.161
boiling,1,7,2.334
boisterous,1,10,1.114
bold,1,4,2.587
bologna,NA,7,1
bolster,1,7,1.23
bolt,1,4,2.546
bolts,1,5,2.049
bomb,1,4,3.437
bomber,1,6,2.332
bombshell,1,9,1.672
bond,2,4,3.203
bondage,1,7,1.944
bonding,1,7,2.193
bonds,1,5,2.533
bone,1,4,3.124
boner,1,5,2.079
bones,1,5,3.194
bonfire,1,7,1.954
bong,1,4,2.155
bonkers,1,7,1.763
bonnet,1,6,1.982
bonus,1,5,2.672
boo,1,3,2.776
boob,1,4,2.188
boobs,1,5,2.574
booger,NA,6,1
boogers,NA,7,1
boogie,1,6,2.425
book,1,4,3.955
bookbag,NA,7,1
bookcase,1,8,1.69
bookish,1,7,1
bookkeeping,1,11,1.591
books,1,5,3.539
bookshop,1,8,1.623
bookstore,NA,9,1
boom,1,4,3.046
